(2020-01-09 12:29:35.180872) | Strategy init with wallet: BNBUSDT
(2020-01-09 12:29:35.180872) | Interval that is fed to network has length: 8
(2020-01-09 12:29:35.186754) | Neuron initiated with id 0 in layer 0
(2020-01-09 12:29:35.190483) | Neuron initiated with id 1 in layer 0
(2020-01-09 12:29:35.194505) | Neuron initiated with id 2 in layer 0
(2020-01-09 12:29:35.196600) | Neuron initiated with id 3 in layer 0
(2020-01-09 12:29:35.198896) | Neuron initiated with id 4 in layer 0
(2020-01-09 12:29:35.199897) | Neuron initiated with id 5 in layer 0
(2020-01-09 12:29:35.206701) | Neuron initiated with id 6 in layer 0
(2020-01-09 12:29:35.209601) | Neuron initiated with id 7 in layer 0
(2020-01-09 12:29:35.214386) | Neuron initiated with id 0 in layer 1
(2020-01-09 12:29:35.221484) | Neuron initiated with id 1 in layer 1
(2020-01-09 12:29:35.224301) | Neuron initiated with id 2 in layer 1
(2020-01-09 12:29:35.233380) | Neuron initiated with id 3 in layer 1
(2020-01-09 12:29:35.236371) | Neuron initiated with id 4 in layer 1
(2020-01-09 12:29:35.238183) | Neuron initiated with id 5 in layer 1
(2020-01-09 12:29:35.247648) | Neuron initiated with id 0 in layer 2
(2020-01-09 12:29:35.250262) | Assigned random weights
(2020-01-09 12:29:36.619658) | Neuron 0 in layer: 0 has weights and biasNone bias: 0
(2020-01-09 12:29:36.619658) | Neuron 1 in layer: 0 has weights and biasNone bias: 0
(2020-01-09 12:29:36.624067) | Neuron 2 in layer: 0 has weights and biasNone bias: 0
(2020-01-09 12:29:36.630067) | Neuron 3 in layer: 0 has weights and biasNone bias: 0
(2020-01-09 12:29:36.632061) | Neuron 4 in layer: 0 has weights and biasNone bias: 0
(2020-01-09 12:29:36.634613) | Neuron 5 in layer: 0 has weights and biasNone bias: 0
(2020-01-09 12:29:36.639475) | Neuron 6 in layer: 0 has weights and biasNone bias: 0
(2020-01-09 12:29:36.645430) | Neuron 7 in layer: 0 has weights and biasNone bias: 0
(2020-01-09 12:29:36.647551) | Neuron 0 in layer: 1 has weights and bias[0.6821646085306728, 0.9045461387018792, 0.06151256505450531, 0.09577384361367136, 0.34184975584498156, 0.5024285602256112, 0.5829299904565921, 0.9816716719702628] bias: 0
(2020-01-09 12:29:36.649551) | Neuron 1 in layer: 1 has weights and bias[0.3569337670113224, 0.9821044146875197, 0.8135961729846816, 0.6999444927099129, 0.11475322445857328, 0.13908728081723232, 0.9241391015220631, 0.5905094452121166] bias: 0
(2020-01-09 12:29:36.658563) | Neuron 2 in layer: 1 has weights and bias[0.2312161399093099, 0.3397212604062154, 0.8226377781275114, 0.39133176444857, 0.9603664715885145, 0.8080709178936135, 0.8172589968374688, 0.5981060856098104] bias: 0
(2020-01-09 12:29:36.662665) | Neuron 3 in layer: 1 has weights and bias[0.6536757333483929, 0.7199658139182138, 0.7802306571438048, 0.44247238173220993, 0.2955593795856275, 0.4205920719937887, 0.040709742743517796, 0.1779455020346935] bias: 0
(2020-01-09 12:29:36.664822) | Neuron 4 in layer: 1 has weights and bias[0.533956467901603, 0.8849339199738258, 0.20907522097062992, 0.7697659564859106, 0.037872935721314005, 0.11480764147668276, 0.5726547617960702, 0.15187656914891012] bias: 0
(2020-01-09 12:29:36.666815) | Neuron 5 in layer: 1 has weights and bias[0.7427343360298653, 0.8184901921654136, 0.1070395884027866, 0.6926751213051255, 0.896941568725029, 0.619920291342421, 0.38740733671136485, 0.6680327648761312] bias: 0
(2020-01-09 12:29:36.674101) | Neuron 0 in layer: 2 has weights and bias[0.7571885988559908, 0.37063924026060835, 0.06524979171652379, 0.07787594545420573, 0.8280855097340527, 0.1791035037696933] bias: 0
(2020-01-09 12:29:36.926567) | -132.82197819860238
(2020-01-09 12:29:36.933745) | saved network succesfully
(2020-01-09 12:29:36.933745) | Currently training: neuron 0 in layer: 1 tweaking weight number: 0
(2020-01-09 12:29:37.122239) | -132.82197819860238
(2020-01-09 12:29:37.440805) | -132.8047740967421
(2020-01-09 12:29:37.626339) | -132.83918338353595
(2020-01-09 12:29:37.839765) | -132.8047740967421
(2020-01-09 12:29:38.040001) | -132.7875710779773
(2020-01-09 12:29:38.344412) | -132.77036914233017
(2020-01-09 12:29:38.542465) | -132.753168289823
(2020-01-09 12:29:38.742204) | -132.735968520478
(2020-01-09 12:29:39.019959) | -132.7190715854221
(2020-01-09 12:29:39.336307) | -132.70219702052393
(2020-01-09 12:29:39.602638) | -132.68532349739868
(2020-01-09 12:29:39.867212) | -132.6684510160683
(2020-01-09 12:29:40.144839) | -132.6515795765549
(2020-01-09 12:29:40.419213) | -132.63470917888046
(2020-01-09 12:29:40.597515) | -132.6178398230669
(2020-01-09 12:29:41.061079) | -132.60097150913626
(2020-01-09 12:29:41.259586) | -132.58410423711052
(2020-01-09 12:29:41.582412) | -132.56752493850618
(2020-01-09 12:29:41.799995) | -132.55095328502506
(2020-01-09 12:29:42.079400) | -132.53438263649946
(2020-01-09 12:29:42.281650) | -132.51781299295135
(2020-01-09 12:29:42.479903) | -132.50124435440236
(2020-01-09 12:29:42.675483) | -132.484952878837
(2020-01-09 12:29:42.983584) | -132.46877158507152
(2020-01-09 12:29:43.248300) | -132.45259124878405
(2020-01-09 12:29:43.581319) | -132.43641186999608
(2020-01-09 12:29:43.949648) | -132.42023344872914
(2020-01-09 12:29:44.308073) | -132.4040559850047
(2020-01-09 12:29:44.693944) | -132.38787947884418
(2020-01-09 12:29:45.047841) | -132.37170393026918
(2020-01-09 12:29:45.292725) | -132.3555293393011
(2020-01-09 12:29:45.579628) | -132.33935570596145
(2020-01-09 12:29:45.855030) | -132.32318303027165
(2020-01-09 12:29:46.118768) | -132.30701131225328
(2020-01-09 12:29:46.376198) | -132.2908405519277
(2020-01-09 12:29:46.658381) | -132.27467074931639
(2020-01-09 12:29:47.114690) | -132.2585019044408
(2020-01-09 12:29:47.395961) | -132.2423340173224
(2020-01-09 12:29:47.642875) | -132.22616708798267
(2020-01-09 12:29:47.916930) | -132.210001116443
(2020-01-09 12:29:48.265758) | -132.1938361027249
(2020-01-09 12:29:48.542945) | -132.17769754767642
(2020-01-09 12:29:48.851585) | -132.16185667305004
(2020-01-09 12:29:49.148456) | -132.14601671742366
(2020-01-09 12:29:49.493293) | -132.13017768081843
(2020-01-09 12:29:49.794674) | -132.11433956325553
