(2020-01-09 18:51:34.701024) | Strategy init with wallet: BNBUSDT
(2020-01-09 18:51:34.701024) | Interval that is fed to network has length: 8
(2020-01-09 18:51:34.701024) | Neuron initiated with id 0 in layer 0
(2020-01-09 18:51:34.701024) | Neuron initiated with id 1 in layer 0
(2020-01-09 18:51:34.701024) | Neuron initiated with id 2 in layer 0
(2020-01-09 18:51:34.701024) | Neuron initiated with id 3 in layer 0
(2020-01-09 18:51:34.701024) | Neuron initiated with id 4 in layer 0
(2020-01-09 18:51:34.701024) | Neuron initiated with id 5 in layer 0
(2020-01-09 18:51:34.701024) | Neuron initiated with id 6 in layer 0
(2020-01-09 18:51:34.701024) | Neuron initiated with id 7 in layer 0
(2020-01-09 18:51:34.701024) | Neuron initiated with id 0 in layer 1
(2020-01-09 18:51:34.701024) | Neuron initiated with id 1 in layer 1
(2020-01-09 18:51:34.713442) | Neuron initiated with id 2 in layer 1
(2020-01-09 18:51:34.722777) | Neuron initiated with id 3 in layer 1
(2020-01-09 18:51:34.722777) | Neuron initiated with id 4 in layer 1
(2020-01-09 18:51:34.722777) | Neuron initiated with id 5 in layer 1
(2020-01-09 18:51:34.722777) | Neuron initiated with id 6 in layer 1
(2020-01-09 18:51:34.722777) | Neuron initiated with id 7 in layer 1
(2020-01-09 18:51:34.722777) | Neuron initiated with id 0 in layer 2
(2020-01-09 18:51:34.722777) | Assigned random weights
(2020-01-09 18:51:34.722777) | Loading in model line: ['1', '0', '[-0.9959759845516007,-0.9980252053271634,-0.7753055782838538,-0.9996504051816948,-0.6375665899121925,-0.9964800960561699,-0.994005947264228,-0.1071639858060296]', '-0.02']
(2020-01-09 18:51:34.722777) | Loading in model line: ['1', '1', '[0.23251808717791816,0.2550509854154452,-0.7226660336423745,-0.22767736045539766,-0.5506193217235207,-0.2640132070164565,-0.6520557814822443,-0.0698220465839298]', '-0.03']
(2020-01-09 18:51:34.722777) | Loading in model line: ['1', '2', '[-0.9972549954682779,-0.9944793457997356,-0.996988324971309,-0.9919695545246241,-0.9922950534228365,-0.9917384948792376,-0.9960017472767282,-0.988634591006170]', '-0.02']
(2020-01-09 18:51:34.722777) | Loading in model line: ['1', '3', '[0.07186760075966744,-0.5168472865989882,-0.7675132060300043,0.5199787080020946,0.20449093616450875,-0.29013463979266085,-0.6529819047374017,-0.2223005096231200]', '-0.02']
(2020-01-09 18:51:34.722777) | Loading in model line: ['1', '4', '[-0.027521578622121734,-0.15066094058052454,0.645908855968002,0.9032420593009739,0.9832605239251875,0.3317825115426672,0.5072618063779817,0.4543705798625]', '-0.03']
(2020-01-09 18:51:34.722777) | Loading in model line: ['1', '5', '[0.9871512362592886,0.9828220050805933,0.9848224253446166,0.9804791907699836,0.984922527416798,0.9827543939652843,0.9844457152506075,0.984237367087184]', '-0.10999999999999999']
(2020-01-09 18:51:34.722777) | Loading in model line: ['1', '6', '[0.6767924184133922,0.6451906744716003,0.16147562443392827,0.0036778138129675043,-0.026631432938601207,0.31580155123596254,0.05593408396775188,0.04062242374172]', '-0.01']
(2020-01-09 18:51:34.722777) | Loading in model line: ['1', '7', '[-0.26695694314234425,0.07946018042330312,0.539606107493156,0.6190463262419434,0.30222979534861516,0.17165164145123757,0.5069015176595175,0.0855334559392]', '-0.01']
(2020-01-09 18:51:34.722777) | Loading in model line: ['2', '0', '[0.9131961430134503,-0.9943532359354159,-0.5240622007743881,0.8964676187544768,-0.995045386619688,0.155483484137251,0.9974639084768895,0.8774588274142]', '0.0']
