(2020-01-28 19:43:43.620522) | Strategy init with wallet: BNBUSDT
(2020-01-28 19:43:43.620522) | Interval that is fed to network has length: 8
(2020-01-28 19:43:43.621166) | Neuron initiated with id 0 in layer 0
(2020-01-28 19:43:43.621166) | Neuron initiated with id 1 in layer 0
(2020-01-28 19:43:43.621166) | Neuron initiated with id 2 in layer 0
(2020-01-28 19:43:43.622460) | Neuron initiated with id 3 in layer 0
(2020-01-28 19:43:43.622460) | Neuron initiated with id 4 in layer 0
(2020-01-28 19:43:43.622460) | Neuron initiated with id 5 in layer 0
(2020-01-28 19:43:43.623463) | Neuron initiated with id 6 in layer 0
(2020-01-28 19:43:43.623463) | Neuron initiated with id 7 in layer 0
(2020-01-28 19:43:43.624461) | Neuron initiated with id 0 in layer 1
(2020-01-28 19:43:43.624461) | Neuron initiated with id 1 in layer 1
(2020-01-28 19:43:43.624461) | Neuron initiated with id 2 in layer 1
(2020-01-28 19:43:43.625487) | Neuron initiated with id 0 in layer 2
(2020-01-28 19:43:43.626514) | Assigned random weights
