(2020-01-28 20:54:41.662365) | Strategy init with wallet: BNBUSDT
(2020-01-28 20:54:41.662365) | Interval that is fed to network has length: 9
(2020-01-28 20:54:41.665380) | Neuron initiated with id 0 in layer 0
(2020-01-28 20:54:41.674296) | Neuron initiated with id 1 in layer 0
(2020-01-28 20:54:41.680742) | Neuron initiated with id 2 in layer 0
(2020-01-28 20:54:41.688942) | Neuron initiated with id 3 in layer 0
(2020-01-28 20:54:41.695947) | Neuron initiated with id 4 in layer 0
(2020-01-28 20:54:41.698149) | Neuron initiated with id 5 in layer 0
(2020-01-28 20:54:41.707153) | Neuron initiated with id 6 in layer 0
(2020-01-28 20:54:41.712467) | Neuron initiated with id 7 in layer 0
(2020-01-28 20:54:41.722175) | Neuron initiated with id 8 in layer 0
(2020-01-28 20:54:41.727975) | Neuron initiated with id 0 in layer 1
(2020-01-28 20:54:41.736988) | Neuron initiated with id 1 in layer 1
(2020-01-28 20:54:41.742922) | Neuron initiated with id 2 in layer 1
(2020-01-28 20:54:41.750408) | Neuron initiated with id 0 in layer 2
(2020-01-28 20:54:41.752719) | Assigned random weights
(2020-01-28 20:54:43.135418) | Neuron 0 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 20:54:43.136696) | Neuron 1 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 20:54:43.142230) | Neuron 2 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 20:54:43.149506) | Neuron 3 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 20:54:43.155541) | Neuron 4 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 20:54:43.157334) | Neuron 5 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 20:54:43.164265) | Neuron 6 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 20:54:43.166243) | Neuron 7 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 20:54:43.169231) | Neuron 8 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 20:54:43.176114) | Neuron 0 in layer: 1 has weights and bias[0.14428170849106092, 0.026293093793416156, 0.43714836265908463, 0.8426173771749896, 0.07424467831706116, 0.41398674462445706, 0.28054008246240403, 0.5887422164155135, 0.27271156333170166] bias: 0
(2020-01-28 20:54:43.182835) | Neuron 1 in layer: 1 has weights and bias[0.31684327539152235, 0.4715251158781556, 0.37078955752281073, 0.25496408397624815, 0.1853785512927434, 0.7604339865428209, 0.39952358587376424, 0.9243910378577286, 0.5847529690885034] bias: 0
(2020-01-28 20:54:43.184959) | Neuron 2 in layer: 1 has weights and bias[0.029027414730339873, 0.7610445330392895, 0.6313233586117808, 0.6415912571150558, 0.8953593551780814, 0.7669898265260435, 0.8885409555349641, 0.08703043608885785, 0.7410970073828859] bias: 0
(2020-01-28 20:54:43.193381) | Neuron 0 in layer: 2 has weights and bias[0.29698512234142005, 0.026986263259849208, 0.9889054724260987] bias: 0
(2020-01-28 20:54:43.286347) | -121.74627379226646
(2020-01-28 20:54:43.289922) | saved network succesfully
(2020-01-28 20:54:43.289922) | Currently training: neuron 0 in layer: 1 tweaking weight number: 0
(2020-01-28 20:54:43.374245) | -121.74627379226646
(2020-01-28 20:54:43.441116) | -121.74317219344925
(2020-01-28 20:54:43.518101) | -121.74677383340229
(2020-01-28 20:54:43.593814) | -121.74317219344925
(2020-01-28 20:54:43.677035) | -121.73815943305065
(2020-01-28 20:54:43.731708) | -121.73314450468769
(2020-01-28 20:54:43.775593) | -121.72812740116784
(2020-01-28 20:54:43.813691) | -121.72368740577815
(2020-01-28 20:54:43.888860) | -121.72210235889055
(2020-01-28 20:54:43.950391) | -121.7209887354302
(2020-01-28 20:54:44.007379) | -121.7188304203969
(2020-01-28 20:54:44.061935) | -121.7094495169421
(2020-01-28 20:54:44.120600) | -121.69936746027575
(2020-01-28 20:54:44.190095) | -121.68850252667292
(2020-01-28 20:54:44.248899) | -121.67763570565378
(2020-01-28 20:54:44.322891) | -121.66858639694807
(2020-01-28 20:54:44.386744) | -121.66150526830073
(2020-01-28 20:54:44.448451) | -121.65391811331368
(2020-01-28 20:54:44.508894) | -121.64632882673622
(2020-01-28 20:54:44.551145) | -121.63891300296828
(2020-01-28 20:54:44.605009) | -121.63273655083633
(2020-01-28 20:54:44.665077) | -121.62496962732207
(2020-01-28 20:54:44.740296) | -121.61620067152928
(2020-01-28 20:54:44.825093) | -121.60742965989206
