(2020-01-28 20:58:48.024274) | Strategy init with wallet: BNBUSDT
(2020-01-28 20:58:48.024274) | Interval that is fed to network has length: 9
(2020-01-28 20:58:48.025269) | Neuron initiated with id 0 in layer 0
(2020-01-28 20:58:48.025269) | Neuron initiated with id 1 in layer 0
(2020-01-28 20:58:48.026546) | Neuron initiated with id 2 in layer 0
(2020-01-28 20:58:48.026546) | Neuron initiated with id 3 in layer 0
(2020-01-28 20:58:48.026546) | Neuron initiated with id 4 in layer 0
(2020-01-28 20:58:48.027896) | Neuron initiated with id 5 in layer 0
(2020-01-28 20:58:48.027896) | Neuron initiated with id 6 in layer 0
(2020-01-28 20:58:48.028902) | Neuron initiated with id 7 in layer 0
(2020-01-28 20:58:48.028902) | Neuron initiated with id 8 in layer 0
(2020-01-28 20:58:48.029900) | Neuron initiated with id 0 in layer 1
(2020-01-28 20:58:48.030122) | Neuron initiated with id 1 in layer 1
(2020-01-28 20:58:48.030122) | Neuron initiated with id 2 in layer 1
(2020-01-28 20:58:48.031118) | Neuron initiated with id 0 in layer 2
(2020-01-28 20:58:48.031728) | Assigned random weights
