(2020-02-03 21:41:25.358217) | Strategy init with wallet: BNBUSDT
(2020-02-03 21:41:25.358217) | Interval that is fed to network has length: 2
(2020-02-03 21:41:25.358217) | Neuron initiated with id 0 in layer 0
(2020-02-03 21:41:25.359218) | Neuron initiated with id 1 in layer 0
(2020-02-03 21:41:25.359218) | Neuron initiated with id 0 in layer 1
(2020-02-03 21:41:25.359218) | Assigned random weights
(2020-02-03 21:41:25.359218) | Loading in model line: ['1', '0', '[-0.36429539154166013,-0.002902020103658]', '0.0']
(2020-02-03 21:41:26.254088) | -3.169001609648133
(2020-02-03 21:41:26.254629) | Starting fitness of network is: -3.169002
(2020-02-03 21:41:26.273651) | -3.27451711475118
(2020-02-03 21:41:26.291173) | -3.1092193885759425
(2020-02-03 21:41:26.305386) | -3.1596147031915995
(2020-02-03 21:41:26.316816) | -3.141640363873584
(2020-02-03 21:41:26.334845) | -3.1092193885759425
(2020-02-03 21:41:26.338887) | saved network succesfully
(2020-02-03 21:41:26.365834) | -3.169001609648133
(2020-02-03 21:41:26.397389) | -3.078117590763942
(2020-02-03 21:41:26.415316) | -3.117235302704868
(2020-02-03 21:41:26.433732) | -3.078429036683639
(2020-02-03 21:41:26.449628) | -3.078117590763942
(2020-02-03 21:41:26.452185) | saved network succesfully
(2020-02-03 21:41:26.466836) | -3.1092193885759425
(2020-02-03 21:41:26.485813) | -3.0862281700605965
(2020-02-03 21:41:26.501844) | -3.106894345986811
(2020-02-03 21:41:26.526003) | -3.0486839231549867
(2020-02-03 21:41:26.541218) | -3.0862281700605965
(2020-02-03 21:41:26.546930) | saved network succesfully
(2020-02-03 21:41:26.569209) | -3.078117590763942
(2020-02-03 21:41:26.587025) | -3.1419450579890786
(2020-02-03 21:41:26.605088) | -3.1307813251485337
(2020-02-03 21:41:26.630238) | -3.0645070667707413
(2020-02-03 21:41:26.655652) | -3.1419450579890786
(2020-02-03 21:41:26.658716) | saved network succesfully
(2020-02-03 21:41:26.679302) | -3.0862281700605965
(2020-02-03 21:41:26.704664) | -3.2241505513793847
(2020-02-03 21:41:26.726499) | -3.187882033625884
(2020-02-03 21:41:26.744915) | -3.1094087600162643
(2020-02-03 21:41:26.765281) | -3.2241505513793847
(2020-02-03 21:41:26.768958) | saved network succesfully
(2020-02-03 21:41:26.795470) | -3.1419450579890786
(2020-02-03 21:41:26.818122) | -3.3341028054961197
(2020-02-03 21:41:26.837088) | -3.272836166411212
(2020-02-03 21:41:26.857067) | -3.188796208198239
(2020-02-03 21:41:26.871268) | -3.1419450579890786
(2020-02-03 21:41:26.872265) | saved network succesfully
(2020-02-03 21:41:26.887756) | -3.0862281700605965
(2020-02-03 21:41:26.903306) | -3.2241505513793847
(2020-02-03 21:41:26.925515) | -3.187882033625884
(2020-02-03 21:41:26.942635) | -3.1094087600162643
(2020-02-03 21:41:26.957706) | -3.0862281700605965
(2020-02-03 21:41:26.959708) | saved network succesfully
(2020-02-03 21:41:26.974366) | -3.078117590763942
(2020-02-03 21:41:26.988920) | -3.1419450579890786
(2020-02-03 21:41:27.003365) | -3.1307813251485337
(2020-02-03 21:41:27.021653) | -3.0645070667707413
(2020-02-03 21:41:27.035050) | -3.078117590763942
(2020-02-03 21:41:27.039219) | saved network succesfully
(2020-02-03 21:41:27.057285) | -3.1092193885759425
(2020-02-03 21:41:27.071410) | -3.0862281700605965
(2020-02-03 21:41:27.094544) | -3.106894345986811
(2020-02-03 21:41:27.112713) | -3.0486839231549867
(2020-02-03 21:41:27.131093) | -3.1092193885759425
(2020-02-03 21:41:27.135477) | saved network succesfully
(2020-02-03 21:41:27.159831) | -3.169001609648133
(2020-02-03 21:41:27.185382) | -3.078117590763942
(2020-02-03 21:41:27.204987) | -3.117235302704868
(2020-02-03 21:41:27.221586) | -3.078429036683639
(2020-02-03 21:41:27.240544) | -3.169001609648133
(2020-02-03 21:41:27.243661) | saved network succesfully
(2020-02-03 21:41:27.266192) | -3.27451711475118
(2020-02-03 21:41:27.289156) | -3.1092193885759425
(2020-02-03 21:41:27.306294) | -3.1596147031915995
(2020-02-03 21:41:27.317851) | -3.141640363873584
(2020-02-03 21:41:27.329402) | -3.27451711475118
(2020-02-03 21:41:27.333987) | saved network succesfully
(2020-02-03 21:41:27.350998) | -3.4568234055654736
(2020-02-03 21:41:27.366969) | -3.169001609648133
(2020-02-03 21:41:27.383883) | -3.2471545327784153
(2020-02-03 21:41:27.405380) | -3.2315956828018226
(2020-02-03 21:41:27.420870) | -3.169001609648133
(2020-02-03 21:41:27.422882) | saved network succesfully
(2020-02-03 21:41:27.441068) | -3.27451711475118
(2020-02-03 21:41:27.455048) | -3.1092193885759425
(2020-02-03 21:41:27.471555) | -3.1596147031915995
(2020-02-03 21:41:27.494815) | -3.141640363873584
(2020-02-03 21:41:27.514053) | -3.1092193885759425
(2020-02-03 21:41:27.517154) | saved network succesfully
(2020-02-03 21:41:27.541530) | -3.169001609648133
(2020-02-03 21:41:27.559454) | -3.078117590763942
(2020-02-03 21:41:27.577207) | -3.117235302704868
(2020-02-03 21:41:27.598411) | -3.078429036683639
(2020-02-03 21:41:27.617896) | -3.078117590763942
(2020-02-03 21:41:27.617896) | saved network succesfully
(2020-02-03 21:41:27.633767) | -3.1092193885759425
(2020-02-03 21:41:27.645067) | -3.0862281700605965
(2020-02-03 21:41:27.664572) | -3.106894345986811
(2020-02-03 21:41:27.679801) | -3.0486839231549867
(2020-02-03 21:41:27.700436) | -3.0862281700605965
(2020-02-03 21:41:27.703702) | saved network succesfully
(2020-02-03 21:41:27.720765) | -3.078117590763942
(2020-02-03 21:41:27.736675) | -3.1419450579890786
(2020-02-03 21:41:27.756887) | -3.1307813251485337
(2020-02-03 21:41:27.785665) | -3.0645070667707413
(2020-02-03 21:41:27.808285) | -3.1419450579890786
(2020-02-03 21:41:27.811020) | saved network succesfully
(2020-02-03 21:41:27.836731) | -3.0862281700605965
(2020-02-03 21:41:27.861556) | -3.2241505513793847
(2020-02-03 21:41:27.883181) | -3.187882033625884
(2020-02-03 21:41:27.902668) | -3.1094087600162643
(2020-02-03 21:41:27.919854) | -3.2241505513793847
(2020-02-03 21:41:27.921736) | saved network succesfully
(2020-02-03 21:41:27.933706) | -3.1419450579890786
(2020-02-03 21:41:27.951802) | -3.3341028054961197
(2020-02-03 21:41:27.970267) | -3.272836166411212
(2020-02-03 21:41:27.988667) | -3.188796208198239
(2020-02-03 21:41:28.004061) | -3.3341028054961197
(2020-02-03 21:41:28.004061) | saved network succesfully
(2020-02-03 21:41:28.023193) | -3.2241505513793847
(2020-02-03 21:41:28.046158) | -3.4711069068332403
(2020-02-03 21:41:28.064396) | -3.3839357068291664
(2020-02-03 21:41:28.080324) | -3.2959659962824053
(2020-02-03 21:41:28.099154) | -3.2241505513793847
(2020-02-03 21:41:28.102076) | saved network succesfully
(2020-02-03 21:41:28.128390) | -3.1419450579890786
(2020-02-03 21:41:28.148130) | -3.3341028054961197
(2020-02-03 21:41:28.163306) | -3.272836166411212
(2020-02-03 21:41:28.187811) | -3.188796208198239
(2020-02-03 21:41:28.201745) | -3.1419450579890786
(2020-02-03 21:41:28.203440) | saved network succesfully
(2020-02-03 21:41:28.218850) | -3.0862281700605965
(2020-02-03 21:41:28.237703) | -3.2241505513793847
(2020-02-03 21:41:28.256764) | -3.187882033625884
(2020-02-03 21:41:28.271772) | -3.1094087600162643
(2020-02-03 21:41:28.285910) | -3.0862281700605965
(2020-02-03 21:41:28.288162) | saved network succesfully
(2020-02-03 21:41:28.306936) | -3.078117590763942
(2020-02-03 21:41:28.325028) | -3.1419450579890786
(2020-02-03 21:41:28.337825) | -3.1307813251485337
(2020-02-03 21:41:28.360842) | -3.0645070667707413
(2020-02-03 21:41:28.382250) | -3.078117590763942
(2020-02-03 21:41:28.383247) | saved network succesfully
(2020-02-03 21:41:28.401591) | -3.1092193885759425
(2020-02-03 21:41:28.421245) | -3.0862281700605965
(2020-02-03 21:41:28.448513) | -3.106894345986811
(2020-02-03 21:41:28.468837) | -3.0486839231549867
(2020-02-03 21:41:28.487936) | -3.1092193885759425
(2020-02-03 21:41:28.489870) | saved network succesfully
(2020-02-03 21:41:28.504807) | -3.169001609648133
(2020-02-03 21:41:28.523716) | -3.078117590763942
(2020-02-03 21:41:28.546829) | -3.117235302704868
(2020-02-03 21:41:28.559324) | -3.078429036683639
(2020-02-03 21:41:28.572596) | -3.169001609648133
(2020-02-03 21:41:28.575604) | saved network succesfully
(2020-02-03 21:41:28.590131) | -3.27451711475118
(2020-02-03 21:41:28.613312) | -3.1092193885759425
(2020-02-03 21:41:28.638852) | -3.1596147031915995
(2020-02-03 21:41:28.661534) | -3.141640363873584
(2020-02-03 21:41:28.678822) | -3.27451711475118
(2020-02-03 21:41:28.680227) | saved network succesfully
(2020-02-03 21:41:28.702642) | -3.4568234055654736
(2020-02-03 21:41:28.718703) | -3.169001609648133
(2020-02-03 21:41:28.730515) | -3.2471545327784153
(2020-02-03 21:41:28.748592) | -3.2315956828018226
(2020-02-03 21:41:28.761613) | -3.4568234055654736
(2020-02-03 21:41:28.764602) | saved network succesfully
(2020-02-03 21:41:28.781394) | -3.7577772129039846
(2020-02-03 21:41:28.797955) | -3.27451711475118
(2020-02-03 21:41:28.821193) | -3.398357270680521
(2020-02-03 21:41:28.842951) | -3.378921100504485
(2020-02-03 21:41:28.856442) | -3.27451711475118
(2020-02-03 21:41:28.858970) | saved network succesfully
(2020-02-03 21:41:28.871817) | -3.4568234055654736
(2020-02-03 21:41:28.885871) | -3.169001609648133
(2020-02-03 21:41:28.903171) | -3.2471545327784153
(2020-02-03 21:41:28.913542) | -3.2315956828018226
(2020-02-03 21:41:28.930435) | -3.169001609648133
(2020-02-03 21:41:28.933334) | saved network succesfully
(2020-02-03 21:41:28.953847) | -3.27451711475118
(2020-02-03 21:41:28.972720) | -3.1092193885759425
(2020-02-03 21:41:28.988900) | -3.1596147031915995
(2020-02-03 21:41:29.004795) | -3.141640363873584
(2020-02-03 21:41:29.016297) | -3.1092193885759425
(2020-02-03 21:41:29.018909) | saved network succesfully
(2020-02-03 21:41:29.031962) | -3.169001609648133
(2020-02-03 21:41:29.045192) | -3.078117590763942
(2020-02-03 21:41:29.067825) | -3.117235302704868
(2020-02-03 21:41:29.083624) | -3.078429036683639
(2020-02-03 21:41:29.099056) | -3.078117590763942
(2020-02-03 21:41:29.102144) | saved network succesfully
(2020-02-03 21:41:29.124097) | -3.1092193885759425
(2020-02-03 21:41:29.144427) | -3.0862281700605965
(2020-02-03 21:41:29.165161) | -3.106894345986811
(2020-02-03 21:41:29.183873) | -3.0486839231549867
(2020-02-03 21:41:29.204984) | -3.0862281700605965
(2020-02-03 21:41:29.209543) | saved network succesfully
(2020-02-03 21:41:29.227729) | -3.078117590763942
(2020-02-03 21:41:29.245323) | -3.1419450579890786
(2020-02-03 21:41:29.261781) | -3.1307813251485337
(2020-02-03 21:41:29.282414) | -3.0645070667707413
(2020-02-03 21:41:29.295939) | -3.1419450579890786
(2020-02-03 21:41:29.300766) | saved network succesfully
(2020-02-03 21:41:29.321313) | -3.0862281700605965
(2020-02-03 21:41:29.337719) | -3.2241505513793847
(2020-02-03 21:41:29.353951) | -3.187882033625884
(2020-02-03 21:41:29.371818) | -3.1094087600162643
(2020-02-03 21:41:29.396500) | -3.2241505513793847
(2020-02-03 21:41:29.398826) | saved network succesfully
(2020-02-03 21:41:29.431408) | -3.1419450579890786
(2020-02-03 21:41:29.449060) | -3.3341028054961197
(2020-02-03 21:41:29.462542) | -3.272836166411212
(2020-02-03 21:41:29.478615) | -3.188796208198239
(2020-02-03 21:41:29.491694) | -3.3341028054961197
(2020-02-03 21:41:29.495143) | saved network succesfully
(2020-02-03 21:41:29.508459) | -3.2241505513793847
(2020-02-03 21:41:29.521825) | -3.4711069068332403
(2020-02-03 21:41:29.538336) | -3.3839357068291664
(2020-02-03 21:41:29.554173) | -3.2959659962824053
(2020-02-03 21:41:29.570072) | -3.4711069068332403
(2020-02-03 21:41:29.572283) | saved network succesfully
(2020-02-03 21:41:29.585359) | -3.3341028054961197
(2020-02-03 21:41:29.602454) | -3.635005429262897
(2020-02-03 21:41:29.622139) | -3.5202588877150935
(2020-02-03 21:41:29.636823) | -3.436388855747405
(2020-02-03 21:41:29.652916) | -3.635005429262897
(2020-02-03 21:41:29.654603) | saved network succesfully
(2020-02-03 21:41:29.679080) | -3.4711069068332403
(2020-02-03 21:41:29.694735) | -3.8226055533596224
(2020-02-03 21:41:29.712531) | -3.689073692081574
(2020-02-03 21:41:29.732226) | -3.608245458941287
(2020-02-03 21:41:29.751443) | -3.8226055533596224
(2020-02-03 21:41:29.753884) | saved network succesfully
(2020-02-03 21:41:29.773465) | -3.635005429262897
(2020-02-03 21:41:29.784608) | -4.039846883985272
(2020-02-03 21:41:29.810543) | -3.886049270001185
(2020-02-03 21:41:29.829967) | -3.806663767816377
(2020-02-03 21:41:29.848430) | -3.635005429262897
(2020-02-03 21:41:29.851878) | saved network succesfully
(2020-02-03 21:41:29.880339) | -3.4711069068332403
(2020-02-03 21:41:29.900358) | -3.8226055533596224
(2020-02-03 21:41:29.918652) | -3.689073692081574
(2020-02-03 21:41:29.941624) | -3.608245458941287
(2020-02-03 21:41:29.959888) | -3.4711069068332403
(2020-02-03 21:41:29.964041) | saved network succesfully
(2020-02-03 21:41:29.984328) | -3.3341028054961197
(2020-02-03 21:41:30.008254) | -3.635005429262897
(2020-02-03 21:41:30.025398) | -3.5202588877150935
(2020-02-03 21:41:30.037420) | -3.436388855747405
(2020-02-03 21:41:30.048718) | -3.3341028054961197
(2020-02-03 21:41:30.051243) | saved network succesfully
(2020-02-03 21:41:30.065763) | -3.2241505513793847
(2020-02-03 21:41:30.078656) | -3.4711069068332403
(2020-02-03 21:41:30.097774) | -3.3839357068291664
(2020-02-03 21:41:30.116978) | -3.2959659962824053
(2020-02-03 21:41:30.139791) | -3.2241505513793847
(2020-02-03 21:41:30.142604) | saved network succesfully
(2020-02-03 21:41:30.161474) | -3.1419450579890786
(2020-02-03 21:41:30.176286) | -3.3341028054961197
(2020-02-03 21:41:30.192028) | -3.272836166411212
(2020-02-03 21:41:30.211668) | -3.188796208198239
(2020-02-03 21:41:30.224746) | -3.1419450579890786
(2020-02-03 21:41:30.227333) | saved network succesfully
(2020-02-03 21:41:30.241586) | -3.0862281700605965
(2020-02-03 21:41:30.264554) | -3.2241505513793847
(2020-02-03 21:41:30.283053) | -3.187882033625884
(2020-02-03 21:41:30.301644) | -3.1094087600162643
(2020-02-03 21:41:30.322681) | -3.0862281700605965
(2020-02-03 21:41:30.324269) | saved network succesfully
(2020-02-03 21:41:30.339948) | -3.078117590763942
(2020-02-03 21:41:30.359060) | -3.1419450579890786
(2020-02-03 21:41:30.385022) | -3.1307813251485337
(2020-02-03 21:41:30.412751) | -3.0645070667707413
(2020-02-03 21:41:30.429402) | -3.078117590763942
(2020-02-03 21:41:30.432414) | saved network succesfully
(2020-02-03 21:41:30.449238) | -3.1092193885759425
(2020-02-03 21:41:30.472661) | -3.0862281700605965
(2020-02-03 21:41:30.497142) | -3.106894345986811
(2020-02-03 21:41:30.511556) | -3.0486839231549867
(2020-02-03 21:41:30.534693) | -3.1092193885759425
(2020-02-03 21:41:30.537766) | saved network succesfully
(2020-02-03 21:41:30.565224) | -3.169001609648133
(2020-02-03 21:41:30.588455) | -3.078117590763942
(2020-02-03 21:41:30.612987) | -3.117235302704868
(2020-02-03 21:41:30.628108) | -3.078429036683639
(2020-02-03 21:41:30.643748) | -3.169001609648133
(2020-02-03 21:41:30.649972) | saved network succesfully
Traceback (most recent call last):
  File "main.py", line 41, in <module>
    start = main()
  File "main.py", line 33, in __init__
    strategy = Strategy.Strategy(binance_client=client,wallet=wallet)
  File "C:\Users\robbe\PycharmProjects\Cryp\Strategy.py", line 32, in __init__
    self.train(network_da)
  File "C:\Users\robbe\PycharmProjects\Cryp\Strategy.py", line 59, in train
    dir_list = [fitness-eval(model) for model in model_list]
  File "C:\Users\robbe\PycharmProjects\Cryp\Strategy.py", line 59, in <listcomp>
    dir_list = [fitness-eval(model) for model in model_list]
  File "C:\Users\robbe\PycharmProjects\Cryp\Strategy.py", line 45, in eval
    fitness = self.fitness(self.run_over_data(data=data, model=model,interval_size=self.model_interval))
  File "C:\Users\robbe\PycharmProjects\Cryp\Strategy.py", line 78, in fitness
    Logger.Log(-((np.sum(afwijkingen)+1)**2))
  File "C:\Users\robbe\AppData\Local\Programs\Python\Python37-32\lib\site-packages\numpy\core\fromnumeric.py", line 1930, in sum
    initial=initial)
  File "C:\Users\robbe\AppData\Local\Programs\Python\Python37-32\lib\site-packages\numpy\core\fromnumeric.py", line 83, in _wrapreduction
    return ufunc.reduce(obj, axis, dtype, out, **passkwargs)
KeyboardInterrupt
