(2020-02-03 22:31:21.200027) | Strategy init with wallet: BNBUSDT
(2020-02-03 22:31:21.200027) | Interval that is fed to network has length: 200
(2020-02-03 22:31:21.200027) | Neuron initiated with id 0 in layer 0
(2020-02-03 22:31:21.201027) | Neuron initiated with id 1 in layer 0
(2020-02-03 22:31:21.201027) | Neuron initiated with id 2 in layer 0
(2020-02-03 22:31:21.201027) | Neuron initiated with id 3 in layer 0
(2020-02-03 22:31:21.201027) | Neuron initiated with id 4 in layer 0
(2020-02-03 22:31:21.201027) | Neuron initiated with id 5 in layer 0
(2020-02-03 22:31:21.201027) | Neuron initiated with id 6 in layer 0
(2020-02-03 22:31:21.205465) | Neuron initiated with id 7 in layer 0
(2020-02-03 22:31:21.205465) | Neuron initiated with id 8 in layer 0
(2020-02-03 22:31:21.205465) | Neuron initiated with id 9 in layer 0
(2020-02-03 22:31:21.205465) | Neuron initiated with id 10 in layer 0
(2020-02-03 22:31:21.205465) | Neuron initiated with id 11 in layer 0
(2020-02-03 22:31:21.206462) | Neuron initiated with id 12 in layer 0
(2020-02-03 22:31:21.206462) | Neuron initiated with id 13 in layer 0
(2020-02-03 22:31:21.206462) | Neuron initiated with id 14 in layer 0
(2020-02-03 22:31:21.206462) | Neuron initiated with id 15 in layer 0
(2020-02-03 22:31:21.206462) | Neuron initiated with id 16 in layer 0
(2020-02-03 22:31:21.207460) | Neuron initiated with id 17 in layer 0
(2020-02-03 22:31:21.207460) | Neuron initiated with id 18 in layer 0
(2020-02-03 22:31:21.207460) | Neuron initiated with id 19 in layer 0
(2020-02-03 22:31:21.207460) | Neuron initiated with id 20 in layer 0
(2020-02-03 22:31:21.207460) | Neuron initiated with id 21 in layer 0
(2020-02-03 22:31:21.208457) | Neuron initiated with id 22 in layer 0
(2020-02-03 22:31:21.208457) | Neuron initiated with id 23 in layer 0
(2020-02-03 22:31:21.208457) | Neuron initiated with id 24 in layer 0
(2020-02-03 22:31:21.208457) | Neuron initiated with id 25 in layer 0
(2020-02-03 22:31:21.208457) | Neuron initiated with id 26 in layer 0
(2020-02-03 22:31:21.209454) | Neuron initiated with id 27 in layer 0
(2020-02-03 22:31:21.209454) | Neuron initiated with id 28 in layer 0
(2020-02-03 22:31:21.209454) | Neuron initiated with id 29 in layer 0
(2020-02-03 22:31:21.209454) | Neuron initiated with id 30 in layer 0
(2020-02-03 22:31:21.209454) | Neuron initiated with id 31 in layer 0
(2020-02-03 22:31:21.210452) | Neuron initiated with id 32 in layer 0
(2020-02-03 22:31:21.210452) | Neuron initiated with id 33 in layer 0
(2020-02-03 22:31:21.210452) | Neuron initiated with id 34 in layer 0
(2020-02-03 22:31:21.210452) | Neuron initiated with id 35 in layer 0
(2020-02-03 22:31:21.210452) | Neuron initiated with id 36 in layer 0
(2020-02-03 22:31:21.210452) | Neuron initiated with id 37 in layer 0
(2020-02-03 22:31:21.211450) | Neuron initiated with id 38 in layer 0
(2020-02-03 22:31:21.211450) | Neuron initiated with id 39 in layer 0
(2020-02-03 22:31:21.211450) | Neuron initiated with id 40 in layer 0
(2020-02-03 22:31:21.211450) | Neuron initiated with id 41 in layer 0
(2020-02-03 22:31:21.211450) | Neuron initiated with id 42 in layer 0
(2020-02-03 22:31:21.211450) | Neuron initiated with id 43 in layer 0
(2020-02-03 22:31:21.212447) | Neuron initiated with id 44 in layer 0
(2020-02-03 22:31:21.212447) | Neuron initiated with id 45 in layer 0
(2020-02-03 22:31:21.212447) | Neuron initiated with id 46 in layer 0
(2020-02-03 22:31:21.212447) | Neuron initiated with id 47 in layer 0
(2020-02-03 22:31:21.212447) | Neuron initiated with id 48 in layer 0
(2020-02-03 22:31:21.212447) | Neuron initiated with id 49 in layer 0
(2020-02-03 22:31:21.212447) | Neuron initiated with id 50 in layer 0
(2020-02-03 22:31:21.213443) | Neuron initiated with id 51 in layer 0
(2020-02-03 22:31:21.213443) | Neuron initiated with id 52 in layer 0
(2020-02-03 22:31:21.213443) | Neuron initiated with id 53 in layer 0
(2020-02-03 22:31:21.213443) | Neuron initiated with id 54 in layer 0
(2020-02-03 22:31:21.213443) | Neuron initiated with id 55 in layer 0
(2020-02-03 22:31:21.213443) | Neuron initiated with id 56 in layer 0
(2020-02-03 22:31:21.213443) | Neuron initiated with id 57 in layer 0
(2020-02-03 22:31:21.214441) | Neuron initiated with id 58 in layer 0
(2020-02-03 22:31:21.214441) | Neuron initiated with id 59 in layer 0
(2020-02-03 22:31:21.214441) | Neuron initiated with id 60 in layer 0
(2020-02-03 22:31:21.214441) | Neuron initiated with id 61 in layer 0
(2020-02-03 22:31:21.214441) | Neuron initiated with id 62 in layer 0
(2020-02-03 22:31:21.214441) | Neuron initiated with id 63 in layer 0
(2020-02-03 22:31:21.214441) | Neuron initiated with id 64 in layer 0
(2020-02-03 22:31:21.214441) | Neuron initiated with id 65 in layer 0
(2020-02-03 22:31:21.215440) | Neuron initiated with id 66 in layer 0
(2020-02-03 22:31:21.215440) | Neuron initiated with id 67 in layer 0
(2020-02-03 22:31:21.215440) | Neuron initiated with id 68 in layer 0
(2020-02-03 22:31:21.215440) | Neuron initiated with id 69 in layer 0
(2020-02-03 22:31:21.215440) | Neuron initiated with id 70 in layer 0
(2020-02-03 22:31:21.215440) | Neuron initiated with id 71 in layer 0
(2020-02-03 22:31:21.215440) | Neuron initiated with id 72 in layer 0
(2020-02-03 22:31:21.215440) | Neuron initiated with id 73 in layer 0
(2020-02-03 22:31:21.215440) | Neuron initiated with id 74 in layer 0
(2020-02-03 22:31:21.216436) | Neuron initiated with id 75 in layer 0
(2020-02-03 22:31:21.216436) | Neuron initiated with id 76 in layer 0
(2020-02-03 22:31:21.216436) | Neuron initiated with id 77 in layer 0
(2020-02-03 22:31:21.216436) | Neuron initiated with id 78 in layer 0
(2020-02-03 22:31:21.216436) | Neuron initiated with id 79 in layer 0
(2020-02-03 22:31:21.216436) | Neuron initiated with id 80 in layer 0
(2020-02-03 22:31:21.216436) | Neuron initiated with id 81 in layer 0
(2020-02-03 22:31:21.216436) | Neuron initiated with id 82 in layer 0
(2020-02-03 22:31:21.217432) | Neuron initiated with id 83 in layer 0
(2020-02-03 22:31:21.225061) | Neuron initiated with id 84 in layer 0
(2020-02-03 22:31:21.225061) | Neuron initiated with id 85 in layer 0
(2020-02-03 22:31:21.225061) | Neuron initiated with id 86 in layer 0
(2020-02-03 22:31:21.225061) | Neuron initiated with id 87 in layer 0
(2020-02-03 22:31:21.225061) | Neuron initiated with id 88 in layer 0
(2020-02-03 22:31:21.226065) | Neuron initiated with id 89 in layer 0
(2020-02-03 22:31:21.226112) | Neuron initiated with id 90 in layer 0
(2020-02-03 22:31:21.226112) | Neuron initiated with id 91 in layer 0
(2020-02-03 22:31:21.226112) | Neuron initiated with id 92 in layer 0
(2020-02-03 22:31:21.226112) | Neuron initiated with id 93 in layer 0
(2020-02-03 22:31:21.226112) | Neuron initiated with id 94 in layer 0
(2020-02-03 22:31:21.227109) | Neuron initiated with id 95 in layer 0
(2020-02-03 22:31:21.227109) | Neuron initiated with id 96 in layer 0
(2020-02-03 22:31:21.227109) | Neuron initiated with id 97 in layer 0
(2020-02-03 22:31:21.227109) | Neuron initiated with id 98 in layer 0
(2020-02-03 22:31:21.227109) | Neuron initiated with id 99 in layer 0
(2020-02-03 22:31:21.228106) | Neuron initiated with id 100 in layer 0
(2020-02-03 22:31:21.228106) | Neuron initiated with id 101 in layer 0
(2020-02-03 22:31:21.228106) | Neuron initiated with id 102 in layer 0
(2020-02-03 22:31:21.228106) | Neuron initiated with id 103 in layer 0
(2020-02-03 22:31:21.228106) | Neuron initiated with id 104 in layer 0
(2020-02-03 22:31:21.228106) | Neuron initiated with id 105 in layer 0
(2020-02-03 22:31:21.229103) | Neuron initiated with id 106 in layer 0
(2020-02-03 22:31:21.229103) | Neuron initiated with id 107 in layer 0
(2020-02-03 22:31:21.229103) | Neuron initiated with id 108 in layer 0
(2020-02-03 22:31:21.229103) | Neuron initiated with id 109 in layer 0
(2020-02-03 22:31:21.229103) | Neuron initiated with id 110 in layer 0
(2020-02-03 22:31:21.229103) | Neuron initiated with id 111 in layer 0
(2020-02-03 22:31:21.229103) | Neuron initiated with id 112 in layer 0
(2020-02-03 22:31:21.230101) | Neuron initiated with id 113 in layer 0
(2020-02-03 22:31:21.230101) | Neuron initiated with id 114 in layer 0
(2020-02-03 22:31:21.230101) | Neuron initiated with id 115 in layer 0
(2020-02-03 22:31:21.230101) | Neuron initiated with id 116 in layer 0
(2020-02-03 22:31:21.230101) | Neuron initiated with id 117 in layer 0
(2020-02-03 22:31:21.231099) | Neuron initiated with id 118 in layer 0
(2020-02-03 22:31:21.231099) | Neuron initiated with id 119 in layer 0
(2020-02-03 22:31:21.231439) | Neuron initiated with id 120 in layer 0
(2020-02-03 22:31:21.231439) | Neuron initiated with id 121 in layer 0
(2020-02-03 22:31:21.231439) | Neuron initiated with id 122 in layer 0
(2020-02-03 22:31:21.231439) | Neuron initiated with id 123 in layer 0
(2020-02-03 22:31:21.231439) | Neuron initiated with id 124 in layer 0
(2020-02-03 22:31:21.231439) | Neuron initiated with id 125 in layer 0
(2020-02-03 22:31:21.231439) | Neuron initiated with id 126 in layer 0
(2020-02-03 22:31:21.232441) | Neuron initiated with id 127 in layer 0
(2020-02-03 22:31:21.232550) | Neuron initiated with id 128 in layer 0
(2020-02-03 22:31:21.232550) | Neuron initiated with id 129 in layer 0
(2020-02-03 22:31:21.232550) | Neuron initiated with id 130 in layer 0
(2020-02-03 22:31:21.232550) | Neuron initiated with id 131 in layer 0
(2020-02-03 22:31:21.232550) | Neuron initiated with id 132 in layer 0
(2020-02-03 22:31:21.232550) | Neuron initiated with id 133 in layer 0
(2020-02-03 22:31:21.232550) | Neuron initiated with id 134 in layer 0
(2020-02-03 22:31:21.232550) | Neuron initiated with id 135 in layer 0
(2020-02-03 22:31:21.241432) | Neuron initiated with id 136 in layer 0
(2020-02-03 22:31:21.241432) | Neuron initiated with id 137 in layer 0
(2020-02-03 22:31:21.241432) | Neuron initiated with id 138 in layer 0
(2020-02-03 22:31:21.241432) | Neuron initiated with id 139 in layer 0
(2020-02-03 22:31:21.241432) | Neuron initiated with id 140 in layer 0
(2020-02-03 22:31:21.241432) | Neuron initiated with id 141 in layer 0
(2020-02-03 22:31:21.242419) | Neuron initiated with id 142 in layer 0
(2020-02-03 22:31:21.242574) | Neuron initiated with id 143 in layer 0
(2020-02-03 22:31:21.242574) | Neuron initiated with id 144 in layer 0
(2020-02-03 22:31:21.242574) | Neuron initiated with id 145 in layer 0
(2020-02-03 22:31:21.242574) | Neuron initiated with id 146 in layer 0
(2020-02-03 22:31:21.242574) | Neuron initiated with id 147 in layer 0
(2020-02-03 22:31:21.242574) | Neuron initiated with id 148 in layer 0
(2020-02-03 22:31:21.242574) | Neuron initiated with id 149 in layer 0
(2020-02-03 22:31:21.243571) | Neuron initiated with id 150 in layer 0
