(2020-02-03 22:36:51.036579) | Strategy init with wallet: BNBUSDT
(2020-02-03 22:36:51.039236) | Interval that is fed to network has length: 128
(2020-02-03 22:36:51.046703) | Neuron initiated with id 0 in layer 0
(2020-02-03 22:36:51.046703) | Neuron initiated with id 1 in layer 0
(2020-02-03 22:36:51.046703) | Neuron initiated with id 2 in layer 0
(2020-02-03 22:36:51.046703) | Neuron initiated with id 3 in layer 0
(2020-02-03 22:36:51.047700) | Neuron initiated with id 4 in layer 0
(2020-02-03 22:36:51.047920) | Neuron initiated with id 5 in layer 0
(2020-02-03 22:36:51.047920) | Neuron initiated with id 6 in layer 0
(2020-02-03 22:36:51.047920) | Neuron initiated with id 7 in layer 0
(2020-02-03 22:36:51.047920) | Neuron initiated with id 8 in layer 0
(2020-02-03 22:36:51.047920) | Neuron initiated with id 9 in layer 0
(2020-02-03 22:36:51.047920) | Neuron initiated with id 10 in layer 0
(2020-02-03 22:36:51.047920) | Neuron initiated with id 11 in layer 0
(2020-02-03 22:36:51.049054) | Neuron initiated with id 12 in layer 0
(2020-02-03 22:36:51.049054) | Neuron initiated with id 13 in layer 0
(2020-02-03 22:36:51.049054) | Neuron initiated with id 14 in layer 0
(2020-02-03 22:36:51.049054) | Neuron initiated with id 15 in layer 0
(2020-02-03 22:36:51.049577) | Neuron initiated with id 16 in layer 0
(2020-02-03 22:36:51.049577) | Neuron initiated with id 17 in layer 0
(2020-02-03 22:36:51.049577) | Neuron initiated with id 18 in layer 0
(2020-02-03 22:36:51.050194) | Neuron initiated with id 19 in layer 0
(2020-02-03 22:36:51.050194) | Neuron initiated with id 20 in layer 0
(2020-02-03 22:36:51.050194) | Neuron initiated with id 21 in layer 0
(2020-02-03 22:36:51.050194) | Neuron initiated with id 22 in layer 0
(2020-02-03 22:36:51.050194) | Neuron initiated with id 23 in layer 0
(2020-02-03 22:36:51.050194) | Neuron initiated with id 24 in layer 0
(2020-02-03 22:36:51.051190) | Neuron initiated with id 25 in layer 0
(2020-02-03 22:36:51.051409) | Neuron initiated with id 26 in layer 0
(2020-02-03 22:36:51.051409) | Neuron initiated with id 27 in layer 0
(2020-02-03 22:36:51.051409) | Neuron initiated with id 28 in layer 0
(2020-02-03 22:36:51.051409) | Neuron initiated with id 29 in layer 0
(2020-02-03 22:36:51.051409) | Neuron initiated with id 30 in layer 0
(2020-02-03 22:36:51.051409) | Neuron initiated with id 31 in layer 0
(2020-02-03 22:36:51.051409) | Neuron initiated with id 32 in layer 0
(2020-02-03 22:36:51.052394) | Neuron initiated with id 33 in layer 0
(2020-02-03 22:36:51.052573) | Neuron initiated with id 34 in layer 0
(2020-02-03 22:36:51.052573) | Neuron initiated with id 35 in layer 0
(2020-02-03 22:36:51.052573) | Neuron initiated with id 36 in layer 0
(2020-02-03 22:36:51.052573) | Neuron initiated with id 37 in layer 0
(2020-02-03 22:36:51.052573) | Neuron initiated with id 38 in layer 0
(2020-02-03 22:36:51.052573) | Neuron initiated with id 39 in layer 0
(2020-02-03 22:36:51.052573) | Neuron initiated with id 40 in layer 0
(2020-02-03 22:36:51.052573) | Neuron initiated with id 41 in layer 0
(2020-02-03 22:36:51.053571) | Neuron initiated with id 42 in layer 0
(2020-02-03 22:36:51.053757) | Neuron initiated with id 43 in layer 0
(2020-02-03 22:36:51.053757) | Neuron initiated with id 44 in layer 0
(2020-02-03 22:36:51.053757) | Neuron initiated with id 45 in layer 0
(2020-02-03 22:36:51.053757) | Neuron initiated with id 46 in layer 0
(2020-02-03 22:36:51.053757) | Neuron initiated with id 47 in layer 0
